Date,Time,Open,High,Low,Adj Close,Volumne
2021.04.15,20:05,63502.32,63517.2,63392.77,63445.03,326
2021.04.15,20:10,63442,63490.82,63181.79,63235.61,367
2021.04.15,20:15,63234.56,63403.92,63162.78,63379.04,340
2021.04.15,20:20,63377.47,63531.52,63377.47,63427.91,346
2021.04.15,20:25,63439.06,63600.05,63406.33,63591.66,341
2021.04.15,20:30,63591.23,63595.78,63376.68,63447.43,343
2021.04.15,20:35,63428.57,63465.56,63334.54,63396.36,329
2021.04.15,20:40,63397.06,63401.7,63282.53,63298.94,321
2021.04.15,20:45,63292.01,63298.72,63142.78,63234.98,311
2021.04.15,20:50,63236.97,63312.79,63209.09,63292.25,319
2021.04.15,20:55,63281.81,63340.75,63251.01,63340.3,317
2021.04.15,21:00,63341.98,63395.67,63276.11,63350.73,319
2021.04.15,21:05,63351.33,63471.25,63345.6,63435.35,306
2021.04.15,21:10,63440.88,63478.82,63416.56,63468.72,309
2021.04.15,21:15,63470.59,63496.94,63266.55,63278.56,315
2021.04.15,21:20,63269.82,63319.67,63217.19,63316.17,325
2021.04.15,21:25,63315.86,63323.37,63216.04,63323.37,309
2021.04.15,21:30,63324.17,63432.23,63291.31,63432.23,309
2021.04.15,21:35,63431.85,63549.54,63401.25,63526.78,301
2021.04.15,21:40,63521,63757.76,63521,63640.92,343
2021.04.15,21:45,63645.27,63664.19,63484.98,63508.83,316
2021.04.15,21:50,63510.04,63524.49,63315.27,63363.58,331
2021.04.15,21:55,63366.74,63407.56,63287.42,63341.66,339
2021.04.15,22:00,63344.35,63353.41,63259.78,63353.41,302
2021.04.15,22:05,63355.06,63440.54,63333.35,63381.81,307
2021.04.15,22:10,63363.97,63499.09,63270.3,63462.44,376
2021.04.15,22:15,63462.61,63503.65,63393.9,63448.92,345
2021.04.15,22:20,63464.66,63465.56,63202.41,63304.51,354
2021.04.15,22:25,63306.51,63316.96,63178.23,63303.96,326
2021.04.15,22:30,63300.11,63433.74,63271.44,63383.25,332
2021.04.15,22:35,63391.98,63410.59,63296.46,63351.89,322
2021.04.15,22:40,63353.65,63358.9,63261.23,63266.06,319
2021.04.15,22:45,63266.3,63286.67,63177.25,63242.05,329
2021.04.15,22:50,63244.12,63283.42,63187.84,63207.14,326
2021.04.15,22:55,63210.65,63318.89,63196.05,63209.47,324
2021.04.15,23:00,63214.12,63303.12,63147.97,63215.67,328
2021.04.15,23:05,63222.86,63335.02,63198.25,63307.49,336
2021.04.15,23:10,63311.49,63329.52,63190.74,63220.83,322
2021.04.15,23:15,63223.77,63317.06,63181.76,63181.76,323
2021.04.15,23:20,63197.9,63211.94,62959.8,63086.31,358
2021.04.15,23:25,63087.34,63149.21,63061.83,63119.77,314
